MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1922264	4930503B20Rik	RIKEN cDNA 4930503B20 gene	3		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1922561	4930550C14Rik	RIKEN cDNA 4930550C14 gene	9		mitochondrial outer membrane			IDA		J:286525 	
MGI:1922561	4930550C14Rik	RIKEN cDNA 4930550C14 gene	9		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:2142174	4933405O20Rik	RIKEN cDNA 4933405O20 gene	7		mitochondrion			HDA		J:151002 	
MGI:2142174	4933405O20Rik	RIKEN cDNA 4933405O20 gene	7		mitochondrion			IBA	PTN000216786 	J:265628 	
MGI:1914027	4933434E20Rik	RIKEN cDNA 4933434E20 gene	3		mitochondrion			ISO	Q9BWL3 	J:164563 	
MGI:3588271	9130409I23Rik	RIKEN cDNA 9130409I23 gene	1		mitochondrion			ISO	O15121 	J:164563 	
MGI:2443692	A830073O21Rik	RIKEN cDNA A830073O21 gene	7		mitochondrion			HDA		J:151002 	
MGI:3034182	AA467197	expressed sequence AA467197	2		mitochondrial respiratory chain complex IV			IBA	PTN001023184 	J:265628 	
MGI:3034182	AA467197	expressed sequence AA467197	2		mitochondrion			HDA		J:151002 	
MGI:1345167	Aadat	aminoadipate aminotransferase	8		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1345167	Aadat	aminoadipate aminotransferase	8		mitochondrion			HDA		J:151002 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		mitochondrion			IBA	PTN000206953 	J:265628 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrion			HDA		J:151002 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrion			IBA	PTN000206953 	J:265628 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrion			ISO	Q5JTZ9 	J:164563 	
MGI:1353573	Aass	aminoadipate-semialdehyde synthase	6		mitochondrion			ISO	Q9UDR5 	J:164563 	
MGI:1353573	Aass	aminoadipate-semialdehyde synthase	6		mitochondrion			TAS		J:59042 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrial matrix			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrion			HDA		J:151002 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrion			IBA	PTN000241230 	J:265628 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrion			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		mitochondrion			ISO	P80404 	J:164563 	
MGI:1351668	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	11		mitochondrial inner membrane			HDA		J:100953 	
MGI:2386796	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	11		mitochondrion			HDA		J:151002 	
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1		mitochondrial inner membrane			HDA		J:100953 	
MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	5		mitochondrion			HDA		J:151002 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		integral component of mitochondrial outer membrane			ISO	Q9NP58 	J:164563 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		mitochondrial envelope			ISO	Q9NP58 	J:73065 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		mitochondrial outer membrane			ISO	Q9NP58 	J:164563 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		mitochondrion			HDA		J:151002 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		mitochondrion			ISO	RGD:71077 	J:155856 	
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X		mitochondrial inner membrane			HDA		J:100953 	
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X		mitochondrial inner membrane			IBA	PTN000657864 	J:265628 	
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X		mitochondrial inner membrane			ISO	O75027 	J:164563 	
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X		mitochondrion			ISO	O75027 	J:164563 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		mitochondrial inner membrane			IDA		J:279978 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		mitochondrial inner membrane			ISO	Q9NUT2 	J:164563 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		mitochondrial membrane			ISO	Q9NUT2 	J:164563 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		mitochondrion			HDA		J:151002 	
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5		mitochondrion			ISO	Q9NUT2 	J:164563 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		integral component of mitochondrial membrane			ISO	Q9NRK6 	J:164563 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		mitochondrial inner membrane			HDA		J:100953 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		mitochondrial inner membrane			IDA		J:62659 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		mitochondrion			HDA		J:151002 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		mitochondrion			IDA		J:93963 	
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	8		mitochondrion			ISO	Q9NRK6 	J:164563 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7	colocalizes_with	mitochondrion			ISO	RGD:3786 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		mitochondrion			ISO	RGD:3787 	J:155856 	
MGI:2441679	Abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	8		mitochondrion			HDA		J:151002 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		mitochondrial membrane			ISO	P33897 	J:164563 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		mitochondrion			HDA		J:151002 	
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15		mitochondrion			HDA		J:151002 	
MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3		mitochondrial inner membrane			HDA		J:100953 	
MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3		mitochondrion			HDA		J:151002 	
MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3		mitochondrion			ISO	RGD:2007 	J:155856 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	8		mitochondrion			ISO	P61221 	J:164563 	
MGI:1351657	Abcf2	ATP-binding cassette, sub-family F (GCN20), member 2	5		mitochondrion			HDA		J:151002 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		mitochondrion			ISO	P45844 	J:164563 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1915938	Abhd4	abhydrolase domain containing 4	14		mitochondrion			IBA	PTN005134012 	J:265628 	
MGI:1914719	Abhd5	abhydrolase domain containing 5	9		mitochondrion			IBA	PTN005134012 	J:265628 	
MGI:1913332	Abhd6	abhydrolase domain containing 6	14		mitochondrion			IBA	PTN005183435 	J:265628 	
MGI:1913332	Abhd6	abhydrolase domain containing 6	14		mitochondrion			IDA		J:163762 	
MGI:1918946	Abhd8	abhydrolase domain containing 8	8		mitochondrion			IBA	PTN005134012 	J:265628 	
MGI:2442422	Abhd10	abhydrolase domain containing 10	16		mitochondrion			HDA		J:151002 	
MGI:2442422	Abhd10	abhydrolase domain containing 10	16		mitochondrion			IBA	PTN001043685 	J:265628 	
MGI:2442422	Abhd10	abhydrolase domain containing 10	16		mitochondrion			ISO	Q9NUJ1 	J:164563 	
MGI:1916008	Abhd11	abhydrolase domain containing 11	5		mitochondrion			HDA		J:151002 	
MGI:1916008	Abhd11	abhydrolase domain containing 11	5		mitochondrion			IBA	PTN000106239 	J:265628 	
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		mitochondrion			ISO	RGD:1584969 	J:155856 	
MGI:2148491	Acaa1a	acetyl-Coenzyme A acyltransferase 1A	9		mitochondrion			HDA		J:151002 	
MGI:3605455	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	9		mitochondrion			HDA		J:151002 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrial inner membrane			HDA		J:100953 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrial matrix			ISO	RGD:620482 	J:155856 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrion			HDA		J:151002 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrion			IBA	PTN002498137 	J:265628 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrion			ISO	RGD:620482 	J:155856 	
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	18		mitochondrion			ISO	P42765 	J:164563 	
MGI:108451	Acaca	acetyl-Coenzyme A carboxylase alpha	11		mitochondrion			HDA		J:151002 	
MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	5		mitochondrion			HDA		J:151002 	
MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	5		mitochondrion			IDA		J:212818 	
MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	5		mitochondrion			ISO	O00763 	J:164563 	
MGI:1914198	Acad8	acyl-Coenzyme A dehydrogenase family, member 8	9		mitochondrion			HDA		J:151002 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrial inner membrane			IEA	KW-0999 	J:60000 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrial membrane			ISO	Q9H845 	J:164563 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrion			HDA		J:151002 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrion			IBA	PTN001330929 	J:265628 	
MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	3		mitochondrion			ISO	Q9H845 	J:164563 	
MGI:1919235	Acad10	acyl-Coenzyme A dehydrogenase family, member 10	5		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1919235	Acad10	acyl-Coenzyme A dehydrogenase family, member 10	5		mitochondrion			HDA		J:151002 	
MGI:2143169	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	9		mitochondrial membrane			ISO	Q709F0 	J:164563 	
MGI:2143169	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	9		mitochondrion			HDA		J:151002 	
MGI:2143169	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	9		mitochondrion			IBA	PTN000856662 	J:265628 	
MGI:2443320	Acad12	acyl-Coenzyme A dehydrogenase family, member 12	5		mitochondrion			HDA		J:151002 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrial matrix			ISO	RGD:2011 	J:155856 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrial membrane			ISO	RGD:2011 	J:155856 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrion			HDA		J:151002 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrion			IBA	PTN000856953 	J:265628 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrion			IDA		J:233904 	
MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	1		mitochondrion			ISO	RGD:2011 	J:155856 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrial matrix			ISO	RGD:2012 	J:155856 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrial matrix			ISO	P11310 	J:164563 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrial membrane			ISO	RGD:2012 	J:155856 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrial membrane			ISO	P11310 	J:164563 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion			HDA		J:151002 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion			IBA	PTN000098033 	J:265628 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion			IDA		J:233904 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion			ISO	RGD:2012 	J:155856 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		mitochondrion			ISO	P11310 	J:164563 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrial matrix			ISO	RGD:620514 	J:155856 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrial membrane			ISO	RGD:620514 	J:155856 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrion			HDA		J:151002 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrion			IBA	PTN000856533 	J:265628 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrion			ISO	RGD:620514 	J:155856 	
MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	5		mitochondrion			ISO	P16219 	J:73065 	
MGI:1914135	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	7		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1914135	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	7		mitochondrion			HDA		J:151002 	
MGI:1914135	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	7		mitochondrion			IBA	PTN000097586 	J:265628 	
MGI:1914135	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	7		mitochondrion			ISO	P45954 	J:164563 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		extrinsic component of mitochondrial inner membrane			ISO	P49748 	J:164563 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrial inner membrane			ISO	RGD:2014 	J:155856 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrial membrane			ISO	P49748 	J:164563 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrial nucleoid			ISO	P49748 	J:164563 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrion			HDA		J:151002 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrion			IBA	PTN001330929 	J:265628 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrion			ISO	RGD:2014 	J:155856 	
MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11		mitochondrion			ISO	P49748 	J:164563 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrial inner membrane			HDA		J:100953 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrial matrix			ISO	RGD:2016 	J:155856 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrion			HDA		J:151002 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrion			IBA	PTN002498137 	J:265628 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrion			ISO	RGD:2016 	J:155856 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		mitochondrion			ISO	P24752 	J:164563 	
MGI:87871	Acat2	acetyl-Coenzyme A acetyltransferase 2	17		mitochondrion			HDA		J:151002 	
MGI:87871	Acat2	acetyl-Coenzyme A acetyltransferase 2	17		mitochondrion			IBA	PTN002498137 	J:265628 	
MGI:109182	Acat3	acetyl-Coenzyme A acetyltransferase 3	17		mitochondrion			HDA		J:151002 	
MGI:109182	Acat3	acetyl-Coenzyme A acetyltransferase 3	17		mitochondrion			IBA	PTN002498137 	J:265628 	
MGI:2181074	Acbd3	acyl-Coenzyme A binding domain containing 3	1		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:103251	Acly	ATP citrate lyase	11		mitochondrion			HDA		J:151002 	
MGI:87879	Aco1	aconitase 1	4		mitochondrion			HDA		J:151002 	
MGI:87879	Aco1	aconitase 1	4		mitochondrion			IBA	PTN000186702 	J:265628 	
MGI:87879	Aco1	aconitase 1	4		mitochondrion			ISO	P21399 	J:164563 	
MGI:87880	Aco2	aconitase 2, mitochondrial	15		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:87880	Aco2	aconitase 2, mitochondrial	15		mitochondrion			HDA		J:151002 	
MGI:87880	Aco2	aconitase 2, mitochondrial	15		mitochondrion			IBA	PTN000186534 	J:265628 	
MGI:87880	Aco2	aconitase 2, mitochondrial	15		mitochondrion			IDA		J:121138 	
MGI:87880	Aco2	aconitase 2, mitochondrial	15		mitochondrion			ISO	RGD:621360 	J:155856 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		mitochondrion			IBA	PTN001048076 	J:265628 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		mitochondrion			IDA		J:196718 	
MGI:1349396	Acot1	acyl-CoA thioesterase 1	12		mitochondrion			HDA		J:151002 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		mitochondrion			HDA		J:151002 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		mitochondrion			ISO	RGD:621055 	J:155856 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		mitochondrion			ISO	P49753 	J:164563 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		mitochondrion			TAS		J:59046 	
MGI:1917275	Acot7	acyl-CoA thioesterase 7	4		mitochondrial matrix			IDA		J:282877 	
MGI:2158201	Acot8	acyl-CoA thioesterase 8	2		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1928939	Acot9	acyl-CoA thioesterase 9	X		mitochondrial matrix			IDA		J:282877 	
MGI:1928939	Acot9	acyl-CoA thioesterase 9	X		mitochondrion			HDA		J:151002 	
MGI:1928939	Acot9	acyl-CoA thioesterase 9	X		mitochondrion			IBA	PTN000291812 	J:265628 	
MGI:1928939	Acot9	acyl-CoA thioesterase 9	X		mitochondrion			IDA		J:66335 	
MGI:1928940	Acot10	acyl-CoA thioesterase 10	15		mitochondrion	is a part of liver,is a part of liver|is a part of brain,is a part of brain|is a part of metanephros,is a part of metanephros|is a part of heart,is a part of heart		HDA		J:86816 	
MGI:1928940	Acot10	acyl-CoA thioesterase 10	15		mitochondrion			HDA		J:151002 	
MGI:1928940	Acot10	acyl-CoA thioesterase 10	15		mitochondrion			IBA	PTN000291812 	J:265628 	
MGI:1928940	Acot10	acyl-CoA thioesterase 10	15		mitochondrion			ISS		J:66335 	
MGI:1913736	Acot11	acyl-CoA thioesterase 11	4		mitochondrial matrix			ISO	Q8WXI4 	J:164563 	
MGI:1913736	Acot11	acyl-CoA thioesterase 11	4		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1914084	Acot13	acyl-CoA thioesterase 13	13		mitochondrial matrix			IDA		J:282877 	
MGI:1914084	Acot13	acyl-CoA thioesterase 13	13		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1914084	Acot13	acyl-CoA thioesterase 13	13		mitochondrion			HDA		J:151002 	
MGI:1914084	Acot13	acyl-CoA thioesterase 13	13		mitochondrion			IDA		J:86816 	
MGI:1330812	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	11		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1933156	Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	5		mitochondrion			HDA		J:151002 	
MGI:1931010	Acp6	acid phosphatase 6, lysophosphatidic	3		mitochondrion	is a part of liver,is a part of liver|is a part of brain,is a part of brain|is a part of metanephros,is a part of metanephros|is a part of heart,is a part of heart		HDA		J:86816 	
MGI:1931010	Acp6	acid phosphatase 6, lysophosphatidic	3		mitochondrion			HDA		J:151002 	
MGI:1931010	Acp6	acid phosphatase 6, lysophosphatidic	3		mitochondrion			IBA	PTN007514979 	J:265628 	
MGI:1931010	Acp6	acid phosphatase 6, lysophosphatidic	3		mitochondrion			ISO	Q9NPH0 	J:164563 	
MGI:3587728	Acsbg2	acyl-CoA synthetase bubblegum family member 2	17		mitochondrion			ISO	Q5FVE4 	J:73065 	
MGI:2388287	Acsf2	acyl-CoA synthetase family member 2	11		mitochondrion			HDA		J:151002 	
MGI:2182591	Acsf3	acyl-CoA synthetase family member 3	8		mitochondrion			HDA		J:151002 	
MGI:2182591	Acsf3	acyl-CoA synthetase family member 3	8		mitochondrion			IBA	PTN001185560 	J:265628 	
MGI:2182591	Acsf3	acyl-CoA synthetase family member 3	8		mitochondrion			ISO	Q4G176 	J:164563 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		mitochondrial outer membrane			ISO	RGD:2015 	J:155856 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		mitochondrion			HDA		J:151002 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		mitochondrion			ISO	RGD:2015 	J:155856 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		mitochondrion			ISO	P33121 	J:164563 	
MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1		mitochondrial outer membrane			IEA	KW-1000 	J:60000 	
MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X		mitochondrial membrane			ISO	RGD:69401 	J:155856 	
