genesymbol	lfc_rna	ncbi_id	UniprotKB
Hadhb	-0.8312583	231086	Q99JY0
Pisd	-0.5710949	320951	Q8BSF4
Pisd	-0.5710949	320951	E9PX91
Pisd	-0.5710949	320951	Q505E1
Acox3	-0.3496665	80911	Q9EPL9
Acox3	-0.3496665	80911	Q3TAW3
Pgm1	-0.5180348	72157	Q9D0F9
Pgm1	-0.5180348	72157	Q3U6X6
Cds1	0.9399254	74596	P98191
Atp5k	0.28425816	11958	Q06185
Dgkq	-0.6497715	110524	Q6P5E8
Acads	-0.516466	11409	Q07417
Cox6a1	0.9738926	12861	P43024
Cox6a1	0.9738926	12861	Q9DCW5
Aldh2	0.23931327	11669	P47738
Aldh2	0.23931327	11669	A0A0G2JEU1
Aldh2	0.23931327	11669	Q544B1
Atp6v0a2	-1.106704	21871	P15920
Aacs	-0.26923987	78894	Q9D2R0
Mdh2	0.83968705	17448	P08249
Ache	2.0827425	11423	P21836
Ache	2.0827425	11423	Q543Z1
Atp5j2	0.2978362	57423	P56135
Ndufa4	0.9937752	17992	Q62425
Ndufa5	0.9239714	68202	Q9CPP6
Ndufa5	0.9239714	68202	D3YTQ8
Atp6v1f	0.34962195	66144	Q9D1K2
Akr1b3	2.3704712	11677	P45376
Akr1b3	2.3704712	11677	Q3UDY1
Akr1b8	-1.6085079	14187	P45377
Bpgm	0.29926702	12183	P15327
Dgki	0.28916886	320127	D3YWQ0
Tbxas1	-2.1413445	21391	P36423
Tbxas1	-2.1413445	21391	Q3UTF0
Ndufb2	1.2317897	68198	Q9CPU2
Agk	1.2039602	69923	Q9ESW4
Atp6v0e2	0.5760031	76252	Q91XE7
Atp6v0e2	0.5760031	76252	A0A0N4SVQ2
Cycs	1.2506245	13063	P62897
Cycs	1.2506245	13063	Q56A15
Hibadh	0.021304833	58875	Q99L13
Hpgds	-2.5799637	54486	Q9JHF7
Suclg1	0.14944881	56451	Q9WUM5
Mgll	2.8400328	23945	O35678
Mgll	2.8400328	23945	E9Q3B9
Mgll	2.8400328	23945	Q3UFN1
Atp6v1e1	0.47049877	11973	P50518
Lpcat3	0.2177156	14792	Q91V01
Tpi1	1.2040774	21991	P17751
Gapdh	0.5115601	14433	P16858
Gapdh	0.5115601	14433	A0A0A0MQF6
Gapdh	0.5115601	14433	D2KHZ9
Ndufa9	0.7662616	66108	Q9DC69
Ldhb	-0.34702694	16832	P16125
Ldhb	-0.34702694	16832	A0A6I8MX27
Etnk1	0.6868597	75320	Q9D4V0
Bcat1	0.5104183	12035	P24288
Bcat1	0.5104183	12035	Q3TJN1
Bcat1	0.5104183	12035	Q8CBC8
Ndufa3	0.2208859	66091	Q9CQ91
Mboat7	1.2497566	77582	Q8CHK3
Bckdha	-0.6246221	12039	Q3U3J1
Pld3	1.2707206	18807	O35405
Cox7a1	-0.71657526	12865	P56392
Cox7a1	-0.71657526	12865	Q792A4
Cox6b1	0.6606418	110323	P56391
Gpi1	1.8986124	14751	P06745
Cpt1c	-0.23413412	78070	Q8BGD5
Bcat2	-0.46296495	12036	O35855
Bcat2	-0.46296495	12036	O88374
Bcat2	-0.46296495	12036	Q3ULU3
Ldha	2.751121	16828	P06151
Ldha	2.751121	16828	A0A1B0GSX0
Ldha	2.751121	16828	Q564E2
Mcee	0.41906032	73724	Q9D1I5
Idh2	-1.6322676	269951	P54071
Ndufc2	0.9620448	68197	Q9CQ54
Dgat2	1.7171563	67800	Q9DCV3
Uqcrc2	0.11511273	67003	Q9DB77
Ndufab1	0.7205504	70316	Q9CR21
Ndufab1	0.7205504	70316	Q569N0
Aldoa	3.0319853	11674	P05064
Aldoa	3.0319853	11674	A6ZI44
Aldoa	3.0319853	11674	Q5FWB7
Cdipt	0.09359245	52858	Q8VDP6
Cdipt	0.09359245	52858	A0A0U1RPV3
Acadsb	0.84932643	66885	Q9DBL1
Lhpp	1.0350391	76429	Q9D7I5
Echs1	-0.31126115	93747	Q8BH95
Ptdss2	-0.060423385	27388	Q9Z1X2
Pnpla2	1.2858578	66853	Q8BJ56
Ppa1	-0.28224546	67895	Q9D819
Ppa1	-0.28224546	67895	Q4FK49
Hk1	0.72053087	15275	P17710
Hk1	0.72053087	15275	B4YB29
Hk1	0.72053087	15275	G3UVV4
Hk1	0.72053087	15275	Q3TTB4
Hk1	0.72053087	15275	Q6GQU1
Pfkl	0.35303736	18641	P12382
Agpat3	0.8461075	28169	Q9D517
Plpp2	0.8257096	50784	Q9DAX2
Plpp2	0.8257096	50784	A0A1W2P7I9
Plpp2	0.8257096	50784	G3XA61
Atp5d	0.89604557	66043	Q9D3D9
Atp5d	0.89604557	66043	D3Z7S4
Atp5d	0.89604557	66043	Q4FK74
Ndufs7	0.94554216	75406	Q9DC70
Uqcr11	0.86617726	66594	Q9CPX8
Chpt1	0.71623784	212862	Q8C025
Chpt1	0.71623784	212862	D3YU39
Lta4h	0.28915125	16993	P24527
Ndufa12	1.1121361	66414	Q7TMF3
Ndufa12	1.1121361	66414	A0A0R4J275
Ptges3	-0.5261809	56351	Q9R0Q7
Atp5b	0.33483082	11947	P56480
Cs	0.92948663	12974	Q9CZU6
Dgka	-1.0522741	13139	O88673
Pnpla6	3.6403408	50767	Q3TRM4
Pnpla6	3.6403408	50767	A0A140LI54
Agpat5	-0.99092746	52123	Q9D1E8
Gpat4	-0.28825617	102247	Q8K2C8
Plpp5	0.48938963	71910	Q3UMZ3
Plpp5	0.48938963	71910	Q6P6K4
Acsl1	3.7881017	14081	P41216
Atp6v1b2	0.29348287	11966	P62814
Ndufa13	1.0664302	67184	Q9ERS2
Ndufb7	0.58275694	66916	Q9CR61
Gcdh	0.31924543	270076	Q60759
Gcdh	0.31924543	270076	A0A0A0MQ68
Gcdh	0.31924543	270076	Q8BVD4
Lpcat2	-1.9111029	270084	Q8BYI6
Atp6v0d1	0.11207117	11972	P51863
Pla2g15	-1.293032	192654	Q8VEB4
Ldhd	-1.4001703	52815	Q7TNG8
Cox4i1	0.53358996	12857	P19783
Cox4i1	0.53358996	12857	A2RSV8
Acsf3	-1.7131897	257633	Q3URE1
Gnpat	-0.31815293	14712	P98192
Gnpat	-0.31815293	14712	Q545P6
Gnpat	-0.31815293	14712	Q9CT84
Pdhb	-0.13405854	68263	Q9D051
Pck2	-0.58380413	74551	Q8BH04
Pck2	-0.58380413	74551	A0A0R4J0G0
Sucla2	0.1454796	20916	Q9Z2I9
Pcca	-0.16667093	110821	Q91ZA3
Pcca	-0.16667093	110821	Q3UGC8
Acad8	-0.11005105	66948	Q9D7B6
Acad8	-0.11005105	66948	A0A0R4J0P1
Atp5l	0.7510135	27425	Q9CPQ8
Sdhd	1.552604	66925	Q9CXV1
Dlat	0.08322009	235339	Q8BMF4
Acat1	0.79902464	110446	Q8QZT1
Idh3a	1.033205	67834	Q9D6R2
Cox5a	0.3083793	12858	P12787
Adpgk	1.2802025	72141	Q8VDL4
Adpgk	1.2802025	72141	A0A1L1SSF2
Pkm	0.15810947	18746	P52480
Hmgcll1	0.8735378	208982	Q8JZS7
Cox7a2	0.68626416	12866	P48771
Bckdhb	1.2656293	12040	Q6P3A8
Pccb	0.45514306	66904	Q99MN9
Pccb	0.45514306	66904	E9Q1J7
Pccb	0.45514306	66904	Q3UYS0
Gpx1	0.88144636	14775	P11352
Gpx1	0.88144636	14775	A0A0A6YVV2
Uqcrc1	1.0729808	22273	Q9CZ13
Gpd1l	2.3311834	333433	Q3ULJ0
Gpd1l	2.3311834	333433	B2RSR7
Acaa1a	-0.6406483	113868	Q921H8
Uqcr10	1.2374575	66152	Q8R1I1
Uqcr10	1.2374575	66152	Q5NCJ9
Gck	-0.35923707	103988	P52792
Gck	-0.35923707	103988	Q5SVI5
Gck	-0.35923707	103988	Q5SVI6
Ogdh	0.65317047	18293	Q60597
Ogdh	0.65317047	18293	Z4YJV4
Mdh1	0.79431087	17449	P14152
Mdh1	0.79431087	17449	A0A5F8MPN8
Acyp2	1.2754762	75572	P56375
Uqcrq	1.2954806	22272	Q9CQ69
Acsl6	1.8477488	216739	Q91WC3
Acsl6	1.8477488	216739	Q5F2D0
Acsl6	1.8477488	216739	Q5ICG4
Acsl6	1.8477488	216739	Q5ICG5
Acsl6	1.8477488	216739	Q8R1X1
Pemt	1.2835139	18618	Q61907
Aldh3a2	0.160859	11671	P47740
Aldh3a2	0.160859	11671	B1AV77
Cox10	0.3766886	70383	Q8CFY5
Cox10	0.3766886	70383	Q3U3N1
Cox10	0.3766886	70383	Q3UDN4
Adprm	-0.9059848	66358	Q99KS6
Acadvl	0.48538798	11370	P50544
Pld2	1.9163239	18806	P97813
Pld2	1.9163239	18806	Q3UNY4
Pld2	1.9163239	18806	Q5SXG5
Pld2	1.9163239	18806	Q6NV49
Pld2	1.9163239	18806	Q80ZW1
Eno3	-0.5066763	13808	P21550
Aldoc	0.8782482	11676	P05063
Acaca	0.69670224	107476	Q5SWU9
Dgke	0.76559365	56077	Q9R1C6
Cox11	-0.15568224	69802	Q6P8I6
Atp5g1	1.652802	11951	Q9CR84
Acly	0.17135763	104112	Q91V92
Acly	0.17135763	104112	Q3V117
Atp6v0a1	0.57241225	11975	Q9Z1G4
Atp6v0a1	0.57241225	11975	Q3TXT5
Atp6v0a1	0.57241225	11975	Q3TY98
G6pc3	0.6434852	68401	Q6NSQ9
Atp5h	0.56233644	71679	Q9DCX2
Acox1	-0.030431494	11430	Q9R0H0
Pgs1	-0.01734746	74451	Q8BHF7
Pgs1	-0.01734746	74451	B9EKS7
Pcyt2	0.584709	68671	Q922E4
Pcyt2	0.584709	68671	A2ABY3
Pcyt2	0.584709	68671	Q3USD5
Pfkp	2.4426243	56421	Q9WUA3
Pfkp	2.4426243	56421	Q8C605
Uqcrfs1	0.16752473	66694	Q9CR68
Eci2	-0.37616035	23986	Q9WUR2
Auh	0.15797506	11992	Q9JLZ3
Auh	0.15797506	11992	A0A0R4J023
Auh	0.15797506	11992	E9QMT1
Uqcrb	0.7476095	67530	Q9CQB4
Ptdss1	0.22170393	19210	Q99LH2
Ndufs6	1.0363574	407785	P52503
Lpcat1	-0.3928553	210992	Q3TFD2
Sdha	-0.08370402	66945	Q8K2B3
Cox7c	0.3450554	12867	P17665
Mccc2	-1.2021569	78038	Q3ULD5
Mccc2	-1.2021569	78038	B2RUK5
Mccc2	-1.2021569	78038	Q6PD20
Plpp1	0.09539477	19012	Q61469
Gpx8	0.50703675	69590	Q9D7B7
Gpx8	0.50703675	69590	A0A338P7G6
Ndufs4	0.9939563	17993	Q9CXZ1
Ndufs4	0.9939563	17993	E9QPX3
Hmgcs1	0.9792833	208715	Q8JZK9
Lpin1	-0.4851959	14245	Q91ZP3
Lpin1	-0.4851959	14245	A0A1Y7VLN4
Lpin1	-0.4851959	14245	A0A5F8MQ53
Lpin1	-0.4851959	14245	E9QKQ5
Lpin1	-0.4851959	14245	Q8CD95
Mboat2	-1.4833044	67216	Q8R3I2
Mboat2	-1.4833044	67216	Q8BN01
Dld	-0.35391027	13382	O08749
Atp6v1d	0.2290661	73834	P57746
Atp6v1d	0.2290661	73834	Q3U861
Aldh6a1	0.32106516	104776	Q9EQ20
Aldh6a1	0.32106516	104776	Q8K0L1
Dlst	-0.5822769	78920	Q9D2G2
Acyp1	-0.36208	66204	P56376
Acyp1	-0.36208	66204	Q4VAF0
Oxct1	0.20678112	67041	Q9D0K2
Cox6c	0.72255635	12864	Q9CPQ1
Atp6v1c1	0.8176177	66335	Q9Z1G3
Ndufb9	0.5737908	66218	Q9CQJ8
Cyc1	0.987866	66445	Q9D0M3
Dgat1	0.4136776	13350	Q9Z2A7
Dgat1	0.4136776	13350	Q54AA6
Pla2g6	1.5476971	53357	P97819
Pla2g6	1.5476971	53357	Q3U613
Pla2g6	1.5476971	53357	Q3UN31
Aco2	0.4821458	11429	Q99KI0
Ndufa6	0.8564427	67130	Q9CQZ5
Pnpla3	2.2686777	116939	Q91WW7
Pnpla3	2.2686777	116939	E9QNZ9
Chkb	0.016078504	12651	O55229
Chkb	0.016078504	12651	Q54AG5
Pfkm	0.83360934	18642	P47857
Atp5g2	0.066215515	67942	P56383
Abat	2.114323	268860	P61922
Dgkg	-1.2366245	110197	Q91WG7
Dgkg	-1.2366245	110197	Q570Z5
Dgkg	-1.2366245	110197	Q8C413
Pcyt1a	-0.5260745	13026	P49586
Ndufb4	0.988088	68194	Q9CQC7
Cox17	-0.3777046	12856	P56394
Cox17	-0.3777046	12856	Q54AC6
Atp6v1a	0.68973386	11964	P50516
Atp5j	0.67872643	11957	P97450
Atp5o	1.2314565	28080	Q9DB20
Cbr1	0.0398063	12408	P48758
Cbr1	0.0398063	12408	B2RXY7
Agpat4	-0.5379156	68262	Q8K4X7
Acat2	0.59197795	110460	Q8CAY6
Eci1	-0.5863887	13177	P42125
Ndufb10	1.012139	68342	Q9DCS9
Hagh	0.8166269	14651	Q99KB8
Hagh	0.8166269	14651	A0A0R4J052
Hagh	0.8166269	14651	G5E8T9
Atp6v0e	-0.44272968	11974	Q9CQD8
Glo1	0.75053364	109801	Q9CPU0
Glo1	0.75053364	109801	A5GZX3
Ndufv3	0.9474479	78330	Q8BK30
Ndufv3	0.9474479	78330	Q3U422
Ndufa7	0.35945478	66416	Q9Z1P6
Agpat1	-0.58290696	55979	O35083
Agpat1	-0.58290696	55979	A0A0R4J263
Atp6v1g2	2.5958695	66237	Q9WTT4
Atp6v1g2	2.5958695	66237	G5E923
Atp6v1g2	2.5958695	66237	Q54A87
Ndufa11	0.9035771	69875	G5E814
Ndufv2	1.1208191	72900	Q9D6J6
Lpin2	0.11405382	64898	Q99PI5
Lpin2	0.11405382	64898	E9PWN0
Lclat1	0.93394876	225010	Q3UN02
Lclat1	0.93394876	225010	B0V2Q7
Cox7a2l	-0.15202291	20463	Q61387
Cox7a2l	-0.15202291	20463	E9PZS8
Cox7a2l	-0.15202291	20463	Q3UDK5
Ndufa2	0.13259025	17991	Q9CQ75
Eno1b	-1.4610549	433182	P17182
Eno1b	-1.4610549	433182	Q5FW97
Aldh7a1	0.6758454	110695	Q9DBF1
Me2	-0.23971221	107029	Q99KE1
Acaa2	3.30316	52538	Q8BWT1
Atp5a1	-0.055557355	11946	Q03265
Chka	-0.0796247	12660	O54804
Ndufs8	1.289324	225887	Q8K3J1
Ndufs8	1.289324	225887	Q3UY05
Ndufs8	1.289324	225887	Q5M9P5
Ndufv1	0.2682126	17995	Q91YT0
Pcx	-0.64962256	18563	E9QPD7
Pcx	-0.64962256	18563	G5E8R3
Pcx	-0.64962256	18563	Q3UFS6
Pcx	-0.64962256	18563	Q8BP54
Cox8a	0.6952199	12868	Q64445
Tkfc	-0.7001717	225913	Q8VC30
Minpp1	-0.4900978	17330	Q9Z2L6
Pgam1	0.8962673	18648	Q9DBJ1
Pgam1	0.8962673	18648	Q3U7Z6
Cox15	1.9235398	226139	Q8BJ03
Ndufb8	1.4524131	67264	Q9D6J5
Ndufb8	1.4524131	67264	Q3V406
Acsl5	3.9632354	433256	Q8JZR0
Acsl5	3.9632354	433256	Q3UC67
