genesymbol	lfc_rna	ncbi_id	UniprotKB
Cox4i2	-0.38073364	84682	Q91W29
Acss2	2.6977034	60525	Q9QXG4
Ptgis	0.6101565	19223	O35074
Atp5e	-1.1921597	67126	P56382
Atp5e	-1.1921597	67126	Q545F5
Dgkk	-0.3437875	331374	Q6DIC8
Ndufb11	-2.4347737	104130	O09111
Ndufa1	-1.5332704	54405	O35683
Ndufa1	-1.5332704	54405	Q545K0
Idh3g	-1.8345972	15929	P70404
Idh3g	-1.8345972	15929	Q3TGZ3
Atp6ap1	0.32056934	54411	Q9R1Q9
Atp6ap1	0.32056934	54411	Q3TWN7
Atp6ap1	0.32056934	54411	Q3UWN7
Gk	2.0962563	14933	Q64516
Gk	2.0962563	14933	B1ASZ3
Gk	2.0962563	14933	Q3TEN9
Gk	2.0962563	14933	Q3TET2
Pcyt1b	-0.14773645	236899	Q811Q9
Cox7b	-1.1599281	66142	P56393
Cox7b	-1.1599281	66142	Q5FW98
Pgk1	4.397623	18655	P09411
Gla	-1.3671759	11605	Q3UM38
Gla	-1.3671759	11605	Q8BGZ6
Acsl4	2.9138947	50790	Q9QUJ7
Acsl4	2.9138947	50790	Q8BW44
Acsl4	2.9138947	50790	Q91YN3
Hsd17b10	-3.2082663	15108	Q99N15
Pdha1	-0.42570052	18597	P35486
Pdha1	-0.42570052	18597	Q3UFJ3
Pld1	4.230634	18805	D6RH77
Pld1	4.230634	18805	Q3UWT7
Pld1	4.230634	18805	Q6NVF2
Ndufb5	-1.5327657	66046	Q9CQH3
Ndufb5	-1.5327657	66046	D3Z568
Mccc1	1.7054656	72039	Q99MR8
Ndufc1	-1.7924174	66377	Q9CQY9
Cept1	1.1989673	99712	Q8BGS7
Dbt	1.7205392	13171	P53395
Pla2g12a	-0.5681361	66350	Q9EPR2
Hadh	-0.71125036	15107	Q61425
Cyp2u1	0.3425843	71519	Q9CX98
Ppa2	-0.9749081	74776	Q91VM9
Ppa2	-0.9749081	74776	D3Z636
Adh5	-4.7845683	11532	P28474
Adh5	-4.7845683	11532	Q6P5I3
Acadm	-0.65873396	11364	P45952
Aco1	-0.7533635	11428	P28271
Ndufb6	-3.1008067	230075	Q3UIU2
Ndufb6	-3.1008067	230075	A2AP31
Grhpr	0.6535903	76238	Q91Z53
Grhpr	0.6535903	76238	Q3T9Z2
Aldh1b1	-3.3820834	72535	Q9CZS1
Aldob	2.7205346	230163	Q91Y97
Aldob	2.7205346	230163	Q3TJ66
Aldob	2.7205346	230163	Q3UER1
Atp6v1g1	-1.6931375	66290	Q9CR51
Atp6v1g1	-1.6931375	66290	Q5HZY7
Cyp2j6	-0.050432224	13110	O54750
Cyp2j6	-0.050432224	13110	Q8CC91
Cyp2j9	-0.35943544	74519	Q924D1
Pgm2	-0.4561581	66681	Q7TSV4
Plpp3	2.4098167	67916	Q99JY8
Cpt2	-0.57836056	12896	P52825
Cpt2	-0.57836056	12896	Q3UN55
Gpx7	-2.1613886	67305	Q99LJ6
Gpx7	-2.1613886	67305	Q3TNK3
Uqcrh	-0.38064834	66576	P99028
Akr1a1	-2.1362557	58810	Q9JII6
Akr1a1	-2.1362557	58810	Q540D7
Akr1a1	-2.1362557	58810	Q80XJ7
Atp6v0b	-1.4718847	114143	Q91V37
Atp6v0b	-1.4718847	114143	Q3U889
Ndufs5	-3.292578	595136	Q99LY9
Hmgcl	-0.073592514	15356	P38060
Lypla2	-0.6864067	26394	Q9WTL7
Pla2g5	2.1306014	18784	P97391
Pla2g5	2.1306014	18784	Q6GTW1
Sdhb	-2.9030678	67680	Q9CQA3
Eno1	-1.9137207	13806	P17182
Eno1	-1.9137207	13806	Q5FW97
Hadha	0.4885703	97212	Q8BMS1
Hadhb	-0.16735207	231086	Q99JY0
Plb1	-0.8520175	665270	Q3TTY0
Plb1	-0.8520175	665270	Q8K255
Pisd	-0.78086233	320951	Q8BSF4
Pisd	-0.78086233	320951	E9PX91
Pisd	-0.78086233	320951	Q505E1
Acox3	0.53031856	80911	Q9EPL9
Acox3	0.53031856	80911	Q3TAW3
Pgm1	-1.7111752	72157	Q9D0F9
Pgm1	-1.7111752	72157	Q3U6X6
Cox7b2	1.4613122	78174	Q9D2H1
Cds1	2.9882228	74596	P98191
Atp5k	-1.3377908	11958	Q06185
Dgkq	1.4284621	110524	Q6P5E8
Acacb	-1.508508	100705	E9Q4Z2
Acacb	-1.508508	100705	Q3UHC8
Acacb	-1.508508	100705	Q9ESZ3
Acads	-1.9777114	11409	Q07417
Cox6a1	-1.7790294	12861	P43024
Cox6a1	-1.7790294	12861	Q9DCW5
Aldh2	-1.8943377	11669	P47738
Aldh2	-1.8943377	11669	A0A0G2JEU1
Aldh2	-1.8943377	11669	Q544B1
Atp6v0a2	2.0846155	21871	P15920
Aacs	-1.2437567	78894	Q9D2R0
Mdh2	-3.3181841	17448	P08249
Ache	2.1619272	11423	P21836
Ache	2.1619272	11423	Q543Z1
Atp5j2	-1.9342486	57423	P56135
Ndufa4	-2.5317981	17992	Q62425
Ndufa5	-2.618004	68202	Q9CPP6
Ndufa5	-2.618004	68202	D3YTQ8
Atp6v1f	-0.82535195	66144	Q9D1K2
Akr1b3	-3.159372	11677	P45376
Akr1b3	-3.159372	11677	Q3UDY1
Akr1b8	-2.2157655	14187	P45377
Akr1b10	1.0410035	67861	G5E895
Akr1b10	1.0410035	67861	Q8BIV6
Bpgm	-1.435622	12183	P15327
Dgki	6.4938874	320127	D3YWQ0
Tbxas1	2.1566203	21391	P36423
Tbxas1	2.1566203	21391	Q3UTF0
Ndufb2	-2.9899368	68198	Q9CPU2
Agk	-0.01030442	69923	Q9ESW4
Atp6v0e2	-0.29907784	76252	Q91XE7
Atp6v0e2	-0.29907784	76252	A0A0N4SVQ2
Cycs	-1.6912851	13063	P62897
Cycs	-1.6912851	13063	Q56A15
Hibadh	0.13074714	58875	Q99L13
Hpgds	1.7069652	54486	Q9JHF7
Suclg1	-1.2902303	56451	Q9WUM5
Hk2	-2.3462038	15277	O08528
Mgll	1.3391081	23945	O35678
Mgll	1.3391081	23945	E9Q3B9
Mgll	1.3391081	23945	Q3UFN1
Suclg2	1.9226624	20917	Q9Z2I8
Atp6v1e1	-0.5932901	11973	P50518
Lpcat3	0.37432405	14792	Q91V01
Eno2	3.7949796	13807	P17183
Eno2	3.7949796	13807	D3Z6E4
Eno2	3.7949796	13807	Q545V3
Tpi1	-0.05567515	21991	P17751
Gapdh	-9.10054	14433	P16858
Gapdh	-9.10054	14433	A0A0A0MQF6
Gapdh	-9.10054	14433	D2KHZ9
Ndufa9	-2.9623659	66108	Q9DC69
Ldhb	-1.6224706	16832	P16125
Ldhb	-1.6224706	16832	A0A6I8MX27
Etnk1	2.7191646	75320	Q9D4V0
Bcat1	1.0094941	12035	P24288
Bcat1	1.0094941	12035	Q3TJN1
Bcat1	1.0094941	12035	Q8CBC8
Ndufa3	-2.2695072	66091	Q9CQ91
Mboat7	1.168867	77582	Q8CHK3
Cox6b2	1.4207292	333182	Q80ZN9
Cox6b2	1.4207292	333182	Q059Q8
Cox6b2	1.4207292	333182	S4R2Q6
Cox6b2	1.4207292	333182	V9GXN3
Bckdha	-0.65320224	12039	Q3U3J1
Pld3	-0.35160545	18807	O35405
Cox7a1	-2.2912464	12865	P56392
Cox7a1	-2.2912464	12865	Q792A4
Cox6b1	-2.1614118	110323	P56391
Gpi1	0.62183964	14751	P06745
Il4i1	3.3399096	14204	O09046
Il4i1	3.3399096	14204	A0A0R4J0C2
Cpt1c	0.95544255	78070	Q8BGD5
Bcat2	0.17107049	12036	O35855
Bcat2	0.17107049	12036	O88374
Bcat2	0.17107049	12036	Q3ULU3
Ldha	-2.665018	16828	P06151
Ldha	-2.665018	16828	A0A1B0GSX0
Ldha	-2.665018	16828	Q564E2
Mcee	-0.042889807	73724	Q9D1I5
Idh2	-1.474509	269951	P54071
Me3	1.0751115	109264	Q8BMF3
Ndufc2	-2.9934425	68197	Q9CQ54
Dgat2	-0.15255673	67800	Q9DCV3
Uqcrc2	-1.9943076	67003	Q9DB77
Ndufab1	-4.4676566	70316	Q9CR21
Ndufab1	-4.4676566	70316	Q569N0
Aldoa	-1.2659215	11674	P05064
Aldoa	-1.2659215	11674	A6ZI44
Aldoa	-1.2659215	11674	Q5FWB7
Cdipt	-0.2013437	52858	Q8VDP6
Cdipt	-0.2013437	52858	A0A0U1RPV3
Cox6a2	2.1333373	12862	P43023
Plpp4	5.120589	381925	Q0VBU9
Acadsb	1.6808916	66885	Q9DBL1
Lhpp	-1.1511161	76429	Q9D7I5
Echs1	-1.5868216	93747	Q8BH95
Ptdss2	-0.25314417	27388	Q9Z1X2
Pnpla2	-0.92283094	66853	Q8BJ56
Ppa1	-2.4976645	67895	Q9D819
Ppa1	-2.4976645	67895	Q4FK49
Hk1	0.5576196	15275	P17710
Hk1	0.5576196	15275	B4YB29
Hk1	0.5576196	15275	G3UVV4
Hk1	0.5576196	15275	Q3TTB4
Hk1	0.5576196	15275	Q6GQU1
Hkdc1	1.7128881	216019	Q91W97
Ggt1	-3.2625933	14598	Q60928
Ggt1	-3.2625933	14598	Q4FK56
Pfkl	-1.8047132	18641	P12382
Agpat3	1.1393974	28169	Q9D517
Plpp2	1.1300617	50784	Q9DAX2
Plpp2	1.1300617	50784	A0A1W2P7I9
Plpp2	1.1300617	50784	G3XA61
Atp5d	-1.9207078	66043	Q9D3D9
Atp5d	-1.9207078	66043	D3Z7S4
Atp5d	-1.9207078	66043	Q4FK74
Ndufs7	-2.2339897	75406	Q9DC70
Uqcr11	-1.7071087	66594	Q9CPX8
Chpt1	2.8552022	212862	Q8C025
Chpt1	2.8552022	212862	D3YU39
Lta4h	-0.5290293	16993	P24527
Ndufa12	-2.8801646	66414	Q7TMF3
Ndufa12	-2.8801646	66414	A0A0R4J275
Ndufa4l2	0.67400694	407790	Q4FZG9
Ptges3	0.39816868	56351	Q9R0Q7
Atp5b	-2.6839004	11947	P56480
Cs	0.10610953	12974	Q9CZU6
Dgka	3.3438566	13139	O88673
Pnpla6	0.84249145	50767	Q3TRM4
Pnpla6	0.84249145	50767	A0A140LI54
Agpat5	0.66715485	52123	Q9D1E8
Gpat4	-0.51123494	102247	Q8K2C8
Plpp5	-1.0612081	71910	Q3UMZ3
Plpp5	-1.0612081	71910	Q6P6K4
Acsl1	1.1898501	14081	P41216
Lpl	-1.8284354	16956	P11152
Atp6v1b2	0.79800487	11966	P62814
Ndufb7	-1.989596	66916	Q9CR61
Gcdh	-0.32755244	270076	Q60759
Gcdh	-0.32755244	270076	A0A0A0MQ68
Gcdh	-0.32755244	270076	Q8BVD4
Lpcat2	2.5253959	270084	Q8BYI6
Atp6v0d1	-1.233201	11972	P51863
Lcat	-0.43925226	16816	P16301
Pla2g15	0.87014157	192654	Q8VEB4
Ldhd	3.0776854	52815	Q7TNG8
Gnpat	0.6408166	14712	P98192
Gnpat	0.6408166	14712	Q545P6
Gnpat	0.6408166	14712	Q9CT84
Pdhb	-0.48311493	68263	Q9D051
Ogdhl	5.800346	239017	B2RXT3
Ogdhl	5.800346	239017	E9Q7L0
Pck2	2.9096956	74551	Q8BH04
Pck2	2.9096956	74551	A0A0R4J0G0
Atp12a	2.7769723	192113	Q9Z1W8
Sucla2	-0.56226915	20916	Q9Z2I9
Dgkh	9.555864	380921	D3YXJ0
Dgkh	9.555864	380921	A0A2I3BQ43
Dgkh	9.555864	380921	A0JP53
Pcca	2.7844286	110821	Q91ZA3
Pcca	2.7844286	110821	Q3UGC8
Acad8	-0.6530988	66948	Q9D7B6
Acad8	-0.6530988	66948	A0A0R4J0P1
Atp5l	-1.9608288	27425	Q9CPQ8
Sdhd	-2.2059085	66925	Q9CXV1
Dlat	0.59150684	235339	Q8BMF4
Acat1	-2.2054646	110446	Q8QZT1
Idh3a	-0.74983466	67834	Q9D6R2
Acsbg1	-0.07220694	94180	Q99PU5
Cox5a	-3.365111	12858	P12787
Adpgk	-0.7601106	72141	Q8VDL4
Adpgk	-0.7601106	72141	A0A1L1SSF2
Pkm	-1.1002015	18746	P52480
Hmgcll1	4.115467	208982	Q8JZS7
Cox7a2	-1.5892297	12866	P48771
Bckdhb	1.3087251	12040	Q6P3A8
Me1	0.949806	17436	P06801
Me1	0.949806	17436	Q3TQP6
Pccb	-0.028758267	66904	Q99MN9
Pccb	-0.028758267	66904	E9Q1J7
Pccb	-0.028758267	66904	Q3UYS0
Glyctk	2.2182643	235582	Q8QZY2
Glyctk	2.2182643	235582	A0A0R4J1H2
Gpx1	-1.8387648	14775	P11352
Gpx1	-1.8387648	14775	A0A0A6YVV2
Uqcrc1	-3.304338	22273	Q9CZ13
Gpd1l	0.3287426	333433	Q3ULJ0
Gpd1l	0.3287426	333433	B2RSR7
Acaa1b	-0.94739664	235674	Q8VCH0
Acaa1b	-0.94739664	235674	Q3UKM0
Acaa1a	-2.143973	113868	Q921H8
Pla2g3	3.7760158	237625	Q8BZT7
Pla2g3	3.7760158	237625	Q6AXH0
Uqcr10	-0.5814198	66152	Q8R1I1
Uqcr10	-0.5814198	66152	Q5NCJ9
Pgam2	-0.22489886	56012	O70250
Pgam2	-0.22489886	56012	Q5NCI4
Gck	-1.9169911	103988	P52792
Gck	-1.9169911	103988	Q5SVI5
Gck	-1.9169911	103988	Q5SVI6
Ogdh	1.9037689	18293	Q60597
Ogdh	1.9037689	18293	Z4YJV4
Mdh1	-1.0084506	17449	P14152
Mdh1	-1.0084506	17449	A0A5F8MPN8
Acyp2	2.88834	75572	P56375
Uqcrq	-1.5040568	22272	Q9CQ69
Acsl6	1.087677	216739	Q91WC3
Acsl6	1.087677	216739	Q5F2D0
Acsl6	1.087677	216739	Q5ICG4
Acsl6	1.087677	216739	Q5ICG5
Acsl6	1.087677	216739	Q8R1X1
Gpx3	2.2820952	14778	P46412
Pemt	-1.5165516	18618	Q61907
Aldh3a2	1.0804515	11671	P47740
Aldh3a2	1.0804515	11671	B1AV77
Cox10	0.2715172	70383	Q8CFY5
Cox10	0.2715172	70383	Q3U3N1
Cox10	0.2715172	70383	Q3UDN4
Adprm	0.16684712	66358	Q99KS6
Acadvl	-1.9280837	11370	P50544
Pld2	0.031081425	18806	P97813
Pld2	0.031081425	18806	Q3UNY4
Pld2	0.031081425	18806	Q5SXG5
Pld2	0.031081425	18806	Q6NV49
Pld2	0.031081425	18806	Q80ZW1
Eno3	1.2113261	13808	P21550
Aldoc	0.7670247	11676	P05063
Acaca	1.3900077	107476	Q5SWU9
Dgke	1.9652705	56077	Q9R1C6
Cox11	0.22802846	69802	Q6P8I6
Atp5g1	-1.9483513	11951	Q9CR84
Acly	-0.6285775	104112	Q91V92
Acly	-0.6285775	104112	Q3V117
Atp6v0a1	2.710224	11975	Q9Z1G4
Atp6v0a1	2.710224	11975	Q3TXT5
Atp6v0a1	2.710224	11975	Q3TY98
G6pc3	-0.24961215	68401	Q6NSQ9
Atp5h	-2.7951882	71679	Q9DCX2
Acox1	0.98103625	11430	Q9R0H0
Pgs1	-0.7829517	74451	Q8BHF7
Pgs1	-0.7829517	74451	B9EKS7
Pcyt2	0.060475614	68671	Q922E4
Pcyt2	0.060475614	68671	A2ABY3
Pcyt2	0.060475614	68671	Q3USD5
Pfkp	1.7559129	56421	Q9WUA3
Pfkp	1.7559129	56421	Q8C605
Mboat1	-0.62844163	218121	Q8BH98
Uqcrfs1	-1.8498981	66694	Q9CR68
Eci2	-2.273912	23986	Q9WUR2
Auh	0.4748364	11992	Q9JLZ3
Auh	0.4748364	11992	A0A0R4J023
Auh	0.4748364	11992	E9QMT1
Fbp2	-2.3069866	14120	P70695
Fbp2	-2.3069866	14120	Q3TKP4
Uqcrb	-2.6225436	67530	Q9CQB4
Ptdss1	0.22787179	19210	Q99LH2
Ndufs6	-1.8189051	407785	P52503
Lpcat1	-0.17158581	210992	Q3TFD2
Sdha	0.26815647	66945	Q8K2B3
Cox7c	-1.1787863	12867	P17665
Mccc2	0.14562124	78038	Q3ULD5
Mccc2	0.14562124	78038	B2RUK5
Mccc2	0.14562124	78038	Q6PD20
Plpp1	-1.245755	19012	Q61469
Gpx8	-4.2827578	69590	Q9D7B7
Gpx8	-4.2827578	69590	A0A338P7G6
Ndufs4	-1.576361	17993	Q9CXZ1
Ndufs4	-1.576361	17993	E9QPX3
Hmgcs1	-1.6430352	208715	Q8JZK9
Lpin1	2.095246	14245	Q91ZP3
Lpin1	2.095246	14245	A0A1Y7VLN4
Lpin1	2.095246	14245	A0A5F8MQ53
Lpin1	2.095246	14245	E9QKQ5
Lpin1	2.095246	14245	Q8CD95
Atp6v1c2	-0.5314592	68775	Q99L60
Mboat2	1.4728284	67216	Q8R3I2
Mboat2	1.4728284	67216	Q8BN01
Dld	-0.324105	13382	O08749
Dgkb	8.714973	217480	Q6NS52
Gpx2	-0.45931548	14776	Q9JHC0
Atp6v1d	-1.0945622	73834	P57746
Atp6v1d	-1.0945622	73834	Q3U861
Aldh6a1	1.5040889	104776	Q9EQ20
Aldh6a1	1.5040889	104776	Q8K0L1
Dlst	1.2620517	78920	Q9D2G2
Acyp1	-0.7675803	66204	P56376
Acyp1	-0.7675803	66204	Q4VAF0
Oxct1	0.14736813	67041	Q9D0K2
Cox6c	-1.7180488	12864	Q9CPQ1
Atp6v1c1	0.37417656	66335	Q9Z1G3
Ndufb9	-1.9133775	66218	Q9CQJ8
Cyc1	-2.1961756	66445	Q9D0M3
Dgat1	0.23956662	13350	Q9Z2A7
Dgat1	0.23956662	13350	Q54AA6
Pla2g6	0.48049343	53357	P97819
Pla2g6	0.48049343	53357	Q3U613
Pla2g6	0.48049343	53357	Q3UN31
Aco2	-1.0494653	11429	Q99KI0
Ndufa6	-1.1204053	67130	Q9CQZ5
Pnpla3	1.0381856	116939	Q91WW7
Pnpla3	1.0381856	116939	E9QNZ9
Chkb	-9.921701	12651	O55229
Chkb	-9.921701	12651	Q54AG5
Pfkm	-0.11134248	18642	P47857
Gpd1	0.73553103	14555	P13707
Atp5g2	-1.6602557	67942	P56383
Abat	2.2575827	268860	P61922
Pla2g10	1.1123754	26565	Q9QXX3
Pla2g10	1.1123754	26565	Q8C5Y6
Pla2g10	1.1123754	26565	Q8K130
Ehhadh	2.3593256	74147	Q9DBM2
Dgkg	1.9832896	110197	Q91WG7
Dgkg	1.9832896	110197	Q570Z5
Dgkg	1.9832896	110197	Q8C413
Pcyt1a	0.7376033	13026	P49586
Ndufb4	-4.7741857	68194	Q9CQC7
Cox17	0.9757368	12856	P56394
Cox17	0.9757368	12856	Q54AC6
Atp6v1a	2.2414346	11964	P50516
Atp5j	-1.5577497	11957	P97450
Atp5o	-5.9230905	28080	Q9DB20
Cbr1	-2.4848347	12408	P48758
Cbr1	-2.4848347	12408	B2RXY7
Cbr3	-0.2131491	109857	Q8K354
Agpat4	-0.023753695	68262	Q8K4X7
Acat3	2.0541968	224530	Q80X81
Acat2	-3.9058647	110460	Q8CAY6
Eci1	0.108597994	13177	P42125
Ndufb10	-1.5245135	68342	Q9DCS9
Hagh	-0.37849003	14651	Q99KB8
Hagh	-0.37849003	14651	A0A0R4J052
Hagh	-0.37849003	14651	G5E8T9
Atp6v0e	-1.060155	11974	Q9CQD8
Glo1	-1.5152422	109801	Q9CPU0
Glo1	-1.5152422	109801	A5GZX3
Ndufv3	-1.6652262	78330	Q8BK30
Ndufv3	-1.6652262	78330	Q3U422
Ndufa7	-1.653274	66416	Q9Z1P6
Agpat1	1.3196515	55979	O35083
Agpat1	1.3196515	55979	A0A0R4J263
Atp6v1g2	2.1631856	66237	Q9WTT4
Atp6v1g2	2.1631856	66237	G5E923
Atp6v1g2	2.1631856	66237	Q54A87
Ndufa11	-2.038489	69875	G5E814
Ndufv2	-2.650434	72900	Q9D6J6
Lclat1	2.3186097	225010	Q3UN02
Lclat1	2.3186097	225010	B0V2Q7
Cox7a2l	0.009769344	20463	Q61387
Cox7a2l	0.009769344	20463	E9PZS8
Cox7a2l	0.009769344	20463	Q3UDK5
Ndufa2	-0.25305173	17991	Q9CQ75
Eno1b	1.8862768	433182	P17182
Eno1b	1.8862768	433182	Q5FW97
Aldh7a1	0.13256122	110695	Q9DBF1
Me2	1.6237445	107029	Q99KE1
Acaa2	-2.27628	52538	Q8BWT1
Lipg	-2.443928	16891	Q9WVG5
Lipg	-2.443928	16891	C0LQ91
Lipg	-2.443928	16891	Q3U5K0
Lipg	-2.443928	16891	Q3U713
Lipg	-2.443928	16891	Q3U807
Lipg	-2.443928	16891	Q3UDI6
Atp5a1	-1.3055722	11946	Q03265
Cpt1a	-2.1903756	12894	P97742
Cpt1a	-2.1903756	12894	Q3UGT1
Cpt1a	-2.1903756	12894	Q7TQD5
Chka	0.797016	12660	O54804
Tcirg1	2.345804	27060	Q9JHF5
Ndufs8	-2.0744383	225887	Q8K3J1
Ndufs8	-2.0744383	225887	Q3UY05
Ndufs8	-2.0744383	225887	Q5M9P5
Aldh3b2	0.046762325	621603	E9Q3E1
Ndufv1	-2.380404	17995	Q91YT0
Pcx	2.1809392	18563	E9QPD7
Pcx	2.1809392	18563	G5E8R3
Pcx	2.1809392	18563	Q3UFS6
Pcx	2.1809392	18563	Q8BP54
Cox8a	-0.30977786	12868	Q64445
Tkfc	-2.8788307	225913	Q8VC30
Minpp1	0.40983126	17330	Q9Z2L6
Pgam1	-0.36091238	18648	Q9DBJ1
Pgam1	-0.36091238	18648	Q3U7Z6
Cox15	-0.3220176	226139	Q8BJ03
Ndufb8	-3.2703474	67264	Q9D6J5
Ndufb8	-3.2703474	67264	Q3V406
Acsl5	-0.51953435	433256	Q8JZR0
Acsl5	-0.51953435	433256	Q3UC67
Pnlip	-5.137613	69060	Q6P8U6
Pnliprp1	-3.105289	18946	Q5BKQ4
Eno4	4.7672086	226265	Q8C042
Eno4	4.7672086	226265	A0A0J9YUP0
