Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Sarcosine,89.0477,13.67,0.71,A026,iHILIC_pos_2020,36.31,1057,C00213,HMDB0000271,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sarcosine,89.0477,13.67,0.71,A026,iHILIC_neg_2020,36.31,1057,C00213,HMDB0000271,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A004_HILIC,L-(+)-Lactic acid,90.0317,4.48,1.08,0.21,-0.22,-0.28,-0.78,-0.49,0.59,0.52,-0.07,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,3775459748.1242000000,702021900.1284280000,3936607535.4052300000,2095515491.0379200000,4111694384.0954200000,14912326035.7067000000,6414154319.6705900000,20445051863.0513000000,5364256429.6285800000,6180367105.8885900000,3871398511.8634700000,3943914135.4619100000,4762021349.2885700000,5218196089.5490800000,5025314889.5386000000,6087607611.4077300000,6530106045.1939700000,5534490778.8123300000,7465469088.3026200000,4701523001.3036400000,7261359994.8355700000,6820710063.2041300000,5744669287.9463300000,6301581704.5001500000,1.2E+07,1.4E+07,1.3E+07,1.2E+07,1.1E+07,1.3E+07,1.2E+07,15.8,11.6,19.4,13.4,101.5,27.3,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Lactic acid,90.0317,4.76,-0.10,B002,iHILIC_neg_2020,93.20,96860,C00186,HMDB0000190,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A005_HILIC,Glycerin,92.0474,7.10,0.21,-0.06,-0.20,1.64,1.58,-0.06,1.91,1.99,0.08,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,77280323.3539746000,99963856.8436715000,76157783.9732691000,78730133.1511481000,76308071.7775365000,85876303.0012973000,75138495.2938292000,90477652.3138676000,37773621.2003109000,33948606.5417806000,17651706.2715811000,15358185.8628323000,23177173.9045527000,21641612.2739398000,25596547.6486403000,25245747.9579102000,26161680.1280167000,22269012.0043999000,24824355.2642725000,22691979.1881499000,27022779.8111893000,21987629.9239949000,21527852.6139590000,21429065.1675028000,4.6E+05,4.8E+05,8.3E+05,5.9E+05,7.1E+05,7.4E+05,6.3E+05,2.4,9.7,32.3,32.6,10.0,1.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycerin,92.0473,7.10,0.17,D034,iHILIC_neg_2020,,733,C00116,HMDB0000131,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A006_HILIC,"N,N-Dimethylglycine",103.0633,11.14,0.38,-0.44,-0.16,-4.14,-3.93,0.21,-3.32,-3.39,-0.07,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,39610173.3017298000,69111447.2623033000,57741194.5795275000,25009743.2864316000,44355253.1938142000,74358038.2622058000,20206721.1151641000,40428171.6921340000,781812142.7222600000,457446324.5823780000,703526404.8533260000,576977951.2643090000,449855445.6049460000,516197118.3136070000,1047041451.0459600000,1293523441.3783600000,793903998.7521440000,774327602.2250580000,603404246.8474000000,596529359.8066780000,513925029.5871060000,549903953.6013860000,677116307.2353850000,389821285.0009640000,1.1E+08,2.3E+06,2.5E+06,3.2E+06,1.1E+08,1.0E+08,3.3E+06,27.4,18.3,55.0,33.0,45.0,38.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"N,N-Dimethylglycine",103.0633,11.19,-0.29,A081,iHILIC_pos_2020,75.58,653,C01026,HMDB0000092,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"N,N-Dimethylglycine",103.0633,11.15,-0.29,A081,iHILIC_neg_2020,75.58,653,C01026,HMDB0000092,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A007_HILIC,gamma-Aminobutyric acid (GABA),103.0633,15.77,0.19,0.23,0.06,1.07,2.24,1.17,1.03,2.37,1.34,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,9115459621.5048900000,10734632846.0251000000,8904222294.8466900000,8872645554.7606800000,9001410966.0459300000,9911511050.3778500000,8945258449.4979300000,10594160060.7499000000,4819583349.9631000000,4640504549.0343900000,3719724040.6188600000,5060415776.3189500000,4192796555.0666500000,5067829269.9402200000,4333524667.4104300000,4950614061.3601200000,2081486387.9478500000,2249933961.4011700000,1838213660.5448500000,1946811077.5173800000,1957069146.9533300000,1691814953.1188800000,1605087530.8280500000,2018344483.3460900000,7.7E+06,7.4E+07,2.7E+06,4.8E+06,4.2E+06,3.0E+06,2.1E+06,11.6,10.8,4.1,10.6,8.5,1.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gamma-Aminobutyric acid (GABA),103.0633,15.81,-0.08,B001,iHILIC_neg_2020,94.91,116,C00334,HMDB0000112,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source guanidinobutyric acid,103.0634,15.78,-0.67,,iHILIC_neg_2020,94.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gamma-Aminobutyric Acid (GABA),103.0633,15.86,-0.08,B001,iHILIC_pos_2020,94.91,116,C00334,HMDB0000112,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A008_HILIC,3-Hydroxybutyric acid,104.0474,4.74,0.25,0.34,-0.66,-1.50,-1.92,-0.42,-1.60,-1.01,0.58,1.000,1.000,1.000,0.082,0.043,1.000,0.137,0.527,1.000,1396736.3131359100,3056528.1434497300,13289099.6187532000,21195020.8189798000,19236167.2636625000,16313251.1995543000,18281883.5280672000,22849929.1786684000,118357296.4825750000,144277438.7764500000,34484067.2616773000,37807075.4564210000,50519496.7558853000,66009037.7941898000,38987616.1795615000,47375982.3425481000,60895117.8349324000,49126786.6829010000,60432993.6051229000,24773536.0019189000,59289685.7248806000,45307465.5631376000,51705278.0637459000,30378013.5305918000,3.3E+05,2.7E+05,2.8E+05,2.9E+05,3.1E+05,2.6E+05,8.4E+05,31.2,7.4,65.5,64.5,56.6,62.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Hydroxybutyric acid,104.0473,4.46,0.12,B027,iHILIC_neg_2020,57.99,428,C01089,HMDB0000357,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A009_HILIC,L-(-)-Serine,105.0426,16.10,-0.21,0.60,0.28,0.47,0.04,-0.43,-0.35,-0.46,-0.12,1.000,1.000,1.000,0.347,1.000,0.726,1.000,0.926,1.000,392317309.4752220000,472350024.2126070000,431113476.4414730000,337063279.5507170000,399437388.9282430000,316594447.0553770000,382838331.6324420000,346006607.3055010000,307861514.7960220000,482845298.9885940000,319207889.8700980000,428698624.3955600000,264261864.9484890000,439125728.5954950000,243555611.3632740000,388422239.3050660000,276219689.6368400000,344358182.6455770000,352398799.3507440000,309190703.2952400000,420279350.7993290000,596086540.4042670000,429228028.1757530000,604378869.0132790000,3.2E+05,3.9E+05,4.9E+05,5.0E+05,4.4E+05,4.5E+05,2.9E+05,34.2,19.2,8.9,12.6,19.2,5.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Serine,105.0426,16.19,0.29,A075,iHILIC_pos_2020,91.44,5736,C00065,HMDB0000187,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Serine,105.0426,16.11,0.29,A075,iHILIC_neg_2020,91.44,5736,C00065,HMDB0000187,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A010_HILIC,Hypotaurine,109.0198,15.06,0.28,0.73,0.30,-2.80,-4.53,-1.73,-3.25,-4.55,-1.30,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,7927608.4808683700,12253239.9232134000,7942414.1679431300,8276985.8905391400,9369899.8674586400,10987334.8786199000,7565540.9616416900,7653142.3392161200,76584570.3042132000,117195160.1483990000,59632440.9778093000,90524684.8935725000,44166061.3758694000,67075058.5452803000,50634980.6198272000,92301233.6111241000,181109277.3661540000,201647395.2182630000,201026453.0330360000,198616606.7694410000,185288554.9526700000,254639325.8866280000,157343887.9588790000,249951295.3351530000,2.9E+05,2.9E+05,3.5E+05,2.8E+05,3.0E+05,2.6E+05,3.5E+05,13.4,10.0,22.3,24.4,22.3,9.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,15.15,0.43,B019,iHILIC_pos_2020,91.56,96959,C00519,HMDB0000965,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,15.19,0.43,B019,iHILIC_neg_2020,91.56,96959,C00519,HMDB0000965,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A011_HILIC,Uracil,112.0273,5.63,0.06,-0.08,-0.28,0.33,0.41,0.08,0.47,0.75,0.27,1.000,1.000,1.000,0.805,0.124,1.000,0.252,0.008,0.838,100767939.3793290000,122914262.5241380000,98881355.0919326000,84808456.3041556000,103387664.4171870000,169977340.3942710000,115369069.0927130000,90051359.5841673000,98986252.7320830000,88736624.8361915000,68122779.1702296000,70002765.8780028000,90604735.2413146000,72681068.3997132000,71636548.1871046000,80678656.8361536000,73043691.7293741000,64245199.0634141000,82364428.6205468000,64679456.2981533000,80687800.3711033000,56916809.8856443000,49441682.5423893000,62528045.9320358000,8.7E+05,3.3E+06,8.8E+06,3.9E+05,6.2E+05,5.7E+05,2.3E+06,5.8,21.3,10.8,18.0,33.5,7.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uracil,112.0273,5.53,0.25,A057,iHILIC_neg_2020,91.26,1141,C00106,HMDB0000300,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A012_HILIC,L-Creatinine,113.0590,7.62,-0.09,-0.12,-0.33,0.64,0.11,-0.53,0.67,0.35,-0.32,1.000,1.000,1.000,0.015,1.000,0.041,0.008,0.259,0.559,1072646561.5028600000,1431329069.6498500000,1246663682.4131300000,919930847.4494900000,1183536914.2976200000,1120934923.6091000000,1066444066.3363200000,998003343.2784870000,803323526.3929130000,699482146.5216930000,662875963.6848260000,612380264.7818470000,638039294.3426200000,631920515.7843440000,780489156.5876820000,744695244.3069670000,1140259493.4009200000,1084964209.5945900000,1333632542.2680500000,875963537.0631470000,945372088.3534370000,785747859.1842010000,929120851.7049670000,662686702.5644870000,9.1E+06,1.2E+07,4.4E+06,4.5E+06,2.2E+06,2.7E+07,3.2E+06,20.9,17.5,9.1,11.5,20.1,7.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Creatinine,113.0589,7.61,0.76,E25,iHILIC_pos_2020,71.81,568,C00791,HMDB0000562,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Creatinine,113.0589,7.61,0.76,E25,iHILIC_neg_2020,71.81,568,C00791,HMDB0000562,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A013_HILIC,L-Proline,115.0633,11.97,0.20,0.79,0.22,-0.99,-1.62,-0.63,-1.57,-1.63,-0.06,1.000,0.562,1.000,0.000,0.000,0.091,0.000,0.000,1.000,4549650500.5809700000,6949128591.6232100000,4827489879.3341800000,4425281800.7804600000,4937758304.1920500000,5995932520.0305500000,4463605787.5788500000,4806954902.1801000000,13882708493.3453000000,18362074368.5529000000,9184889817.2726400000,15761024258.3208000000,9378621054.7704300000,15448385853.6846000000,8189289319.7164700000,16396343197.4890000000,12474752285.0319000000,12649784344.9770000000,16784391142.7269000000,16136597273.2827000000,14086265380.2578000000,17401781592.0811000000,14709831738.8245000000,19149962535.2035000000,4.6E+06,3.2E+06,8.1E+05,3.6E+06,1.9E+06,5.9E+06,4.5E+06,16.8,12.3,7.9,25.0,20.8,4.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Proline,115.0633,12.05,-0.11,E13,iHILIC_pos_2020,89.62,128566,C00148,HMDB0000162,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Proline,115.0633,12.02,-0.11,E13,iHILIC_neg_2020,89.62,128566,C00148,HMDB0000162,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A014_HILIC,Guanidineacetic acid,117.0539,16.22,0.05,0.75,0.30,-2.19,0.97,3.16,-2.89,0.72,3.61,1.000,1.000,1.000,0.000,0.012,0.000,0.000,0.233,0.000,152003603.3992120000,165377674.3845020000,157462229.9315420000,152383660.1258680000,150974546.1554220000,119824319.8341580000,152869999.7961900000,162988170.6233630000,795793824.7599470000,1295350479.7678200000,593830282.1214610000,1040710729.2387000000,1268278548.0033100000,1736443311.9294000000,589022508.0974550000,889218580.1652660000,65342762.7148774000,84950029.5082825000,96952822.1303888000,85759169.0461463000,81784106.8727444000,122815362.1282520000,73415120.0633996000,105495959.2278030000,2.3E+05,2.7E+05,4.9E+05,3.1E+05,3.0E+05,2.7E+05,2.3E+05,18.1,17.0,29.9,39.3,14.0,1.9,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,16.26,0.29,A114,iHILIC_pos_2020,84.53,743,C00581,HMDB0000128,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,16.26,0.29,A114,iHILIC_neg_2020,84.53,743,C00581,HMDB0000128,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A015_HILIC,Betaine,117.0790,9.92,0.17,-0.41,-0.16,-1.65,-3.10,-1.46,-1.06,-2.77,-1.72,1.000,1.000,1.000,0.000,0.000,0.001,0.006,0.000,0.000,2942862655.2176200000,5409008854.7009100000,3573944090.2935300000,2585012862.6486900000,3213216836.5928400000,3928720015.6379700000,2487451734.4857100000,3014560484.7605300000,8498803976.6205100000,6689984654.8436400000,10771935695.0356000000,7772695970.1909700000,7643054979.2211700000,5985352360.3536500000,13071674634.9955000000,12142023967.9652000000,31646620356.7892000000,28737343663.1183000000,27972610848.7046000000,23227355447.8172000000,23751031999.0164000000,21913442919.6593000000,24992659549.2845000000,24275888547.8886000000,1.3E+08,1.5E+08,4.7E+07,5.7E+07,1.5E+08,1.7E+08,1.6E+08,12.1,13.0,33.9,24.4,33.5,15.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betaine,117.0790,10.01,-0.21,A029,iHILIC_pos_2020,,242,C00719,HMDB0000043,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betaine,117.0790,9.93,-0.21,A029,iHILIC_neg_2020,,242,C00719,HMDB0000043,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A016_HILIC,L-(-)-Threonine,119.0583,14.09,0.23,0.72,-0.14,-0.82,-2.99,-2.17,-1.32,-2.62,-1.31,1.000,0.138,1.000,0.000,0.000,0.000,0.000,0.000,0.000,680294039.9620100000,787807943.3840650000,624280125.4762260000,683984285.2679820000,507496721.7174770000,669395124.7252190000,634411580.1141260000,861842266.7793890000,1312367146.0019900000,2208729006.9624400000,1117117744.2468600000,1600076937.9176800000,1014970887.5407700000,1784378847.2926800000,1107141650.9337300000,1881544399.0752500000,5182486613.0583300000,4645196808.9846200000,4808624790.3162900000,4419630712.3918400000,5320920792.9789600000,5310579771.1181300000,4218870046.0592800000,4236453871.1171000000,3.6E+06,3.3E+06,1.6E+06,4.9E+06,4.6E+06,5.2E+06,3.3E+06,10.1,10.1,13.6,11.0,12.1,12.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Threonine,119.0582,14.18,0.75,A076,iHILIC_pos_2020,93.67,6051,C00188,HMDB0000167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Threonine,119.0582,14.09,0.75,A076,iHILIC_neg_2020,93.67,6051,C00188,HMDB0000167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A017_HILIC,L-Homoserine,119.0583,15.29,0.19,0.38,0.02,-1.54,-1.32,0.23,-1.73,-1.14,0.59,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.022,32188969.1351388000,44517972.6307922000,33367929.7712384000,39191961.7969972000,32406655.7218855000,35068533.8089194000,32584066.1481295000,31625569.2800293000,63871671.6802628000,118027133.5584410000,98169497.2802718000,128553916.8250220000,99037534.7056662000,139576168.3444110000,91144532.9345928000,114664314.4184900000,78595816.6365221000,75305329.7816102000,102752961.6615870000,100166062.0772950000,74450546.4068869000,78799298.6185209000,83219557.9880520000,85058546.6469072000,1.5E+06,1.6E+05,3.6E+05,2.1E+06,2.2E+05,2.2E+05,2.6E+05,13.0,14.8,9.0,18.7,14.8,1.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,15.38,0.76,A030,iHILIC_pos_2020,94.24,12126,C00263,HMDB0000719,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,15.33,0.76,A030,iHILIC_neg_2020,94.24,12126,C00263,HMDB0000719,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
